,DeliveryDate,Version,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,structureSegOutputFolder,structureSegOutputFilename
13,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_013.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_013.czi_nucWholeIndex.tiff,20160705_S03_013.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_013.czi_structSegmentation.tiff
14,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_014.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_014.czi_nucWholeIndex.tiff,20160705_S03_014.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_014.czi_structSegmentation.tiff
15,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_015.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_015.czi_nucWholeIndex.tiff,20160705_S03_015.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_015.czi_structSegmentation.tiff
16,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_016.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_016.czi_nucWholeIndex.tiff,20160705_S03_016.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_016.czi_structSegmentation.tiff
17,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_017.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_017.czi_nucWholeIndex.tiff,20160705_S03_017.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_017.czi_structSegmentation.tiff
18,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_018.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_018.czi_nucWholeIndex.tiff,20160705_S03_018.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_018.czi_structSegmentation.tiff
19,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_019.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_019.czi_nucWholeIndex.tiff,20160705_S03_019.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_019.czi_structSegmentation.tiff
20,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_020.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_020.czi_nucWholeIndex.tiff,20160705_S03_020.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_020.czi_structSegmentation.tiff
21,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_021.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_021.czi_nucWholeIndex.tiff,20160705_S03_021.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_021.czi_structSegmentation.tiff
22,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_022.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_022.czi_nucWholeIndex.tiff,20160705_S03_022.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_022.czi_structSegmentation.tiff
23,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_023.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_023.czi_nucWholeIndex.tiff,20160705_S03_023.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_023.czi_structSegmentation.tiff
24,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_024.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_024.czi_nucWholeIndex.tiff,20160705_S03_024.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_024.czi_structSegmentation.tiff
25,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_025.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_025.czi_nucWholeIndex.tiff,20160705_S03_025.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_025.czi_structSegmentation.tiff
26,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_026.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_026.czi_nucWholeIndex.tiff,20160705_S03_026.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_026.czi_structSegmentation.tiff
27,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_027.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_027.czi_nucWholeIndex.tiff,20160705_S03_027.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_027.czi_structSegmentation.tiff
28,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_028.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_028.czi_nucWholeIndex.tiff,20160705_S03_028.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_028.czi_structSegmentation.tiff
29,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_029.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_029.czi_nucWholeIndex.tiff,20160705_S03_029.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_029.czi_structSegmentation.tiff
30,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_030.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_030.czi_nucWholeIndex.tiff,20160705_S03_030.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_030.czi_structSegmentation.tiff
31,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_031.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_031.czi_nucWholeIndex.tiff,20160705_S03_031.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_031.czi_structSegmentation.tiff
32,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_032.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_032.czi_nucWholeIndex.tiff,20160705_S03_032.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_032.czi_structSegmentation.tiff
33,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_033.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_033.czi_nucWholeIndex.tiff,20160705_S03_033.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_033.czi_structSegmentation.tiff
34,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_034.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_034.czi_nucWholeIndex.tiff,20160705_S03_034.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_034.czi_structSegmentation.tiff
35,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_035.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_035.czi_nucWholeIndex.tiff,20160705_S03_035.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_035.czi_structSegmentation.tiff
36,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_036.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_036.czi_nucWholeIndex.tiff,20160705_S03_036.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_036.czi_structSegmentation.tiff
37,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_037.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_037.czi_nucWholeIndex.tiff,20160705_S03_037.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_037.czi_structSegmentation.tiff
38,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_038.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_038.czi_nucWholeIndex.tiff,20160705_S03_038.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_038.czi_structSegmentation.tiff
39,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_039.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_039.czi_nucWholeIndex.tiff,20160705_S03_039.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_039.czi_structSegmentation.tiff
40,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_040.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_040.czi_nucWholeIndex.tiff,20160705_S03_040.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_040.czi_structSegmentation.tiff
41,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_041.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_041.czi_nucWholeIndex.tiff,20160705_S03_041.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_041.czi_structSegmentation.tiff
42,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_042.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_042.czi_nucWholeIndex.tiff,20160705_S03_042.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\structure_segmentation,20160705_S03_042.czi_structSegmentation.tiff
